code,kind,source_file,page,definition
F07807,fault,Siemens_G120_CU240BE2_List_Manual.pdf,882,Drive: Short-circuit/ground fault detected
F07810,fault,Siemens_G120_CU240BE2_List_Manual.pdf,882,Drive: Power unit EEPROM without rated data
F07860,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,397,External fault 1 Remove the external causes for this fault.
F07861,fault,Siemens_G120_CU240BE2_List_Manual.pdf,328,) effective Yes No 8060
F07862,fault,Siemens_G120_CU240BE2_List_Manual.pdf,328,) effective Yes No 8060
F07894,fault,Siemens_G120_CU240BE2_List_Manual.pdf,884,Drive: Load monitoring pump/fan blocked
F07895,fault,Siemens_G120_CU240BE2_List_Manual.pdf,885,Drive: Load monitoring pump/fan no load condition
F07896,fault,Siemens_G120_CU240BE2_List_Manual.pdf,885,Drive: Load monitoring pump leakage
F07900,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,397,Motor blocked • Make sure that the motor can rotate freely.
F07901,fault,Siemens_G120_CU240BE2_List_Manual.pdf,885,Drive: Motor overspeed
F07902,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,397,Motor stalled Check whether the motor data has been parameterized correctly and perform
F07923,fault,Siemens_G120_CU240BE2_List_Manual.pdf,888,Drive: Torque/speed too low
F07924,fault,Siemens_G120_CU240BE2_List_Manual.pdf,888,Drive: Torque/speed too high
F07925,fault,Siemens_G120_CU240BE2_List_Manual.pdf,888,Drive: Torque/speed out of tolerance
F07936,fault,Siemens_G120_CU240BE2_List_Manual.pdf,788,Drive: Load loss
F07950,fault,Siemens_G120_CU240BE2_List_Manual.pdf,889,(A) Motor parameter incorrect
F07963,fault,Siemens_G120_CU240BE2_List_Manual.pdf,890,Drive: Friction characteristic record interrupted
F07967,fault,Siemens_G120_CU240BE2_List_Manual.pdf,891,Drive: Incorrect pole position identification
F07968,fault,Siemens_G120_CU240BE2_List_Manual.pdf,892,Drive: Lq-Ld measurement incorrect
F07969,fault,Siemens_G120_CU240BE2_List_Manual.pdf,892,Drive: Incorrect pole position identification
F07970,fault,Siemens_G120_CU240BE2_List_Manual.pdf,292,fault value 2).
F07983,fault,Siemens_G120_CU240BE2_List_Manual.pdf,894,Drive: Rotating measurement saturation characteristic
F07984,fault,Siemens_G120_CU240BE2_List_Manual.pdf,894,"Drive: Speed controller optimization, moment of inertia"
F07985,fault,Siemens_G120_CU240BE2_List_Manual.pdf,895,Drive: Speed controller optimization (oscillation test)
F07986,fault,Siemens_G120_CU240BE2_List_Manual.pdf,896,Drive: Rotating measurement ramp-function generator
F07988,fault,Siemens_G120_CU240BE2_List_Manual.pdf,896,"Drive: Rotating measurement, no configuration selected"
F07990,fault,Siemens_G120_CU240BE2_List_Manual.pdf,896,Drive: Incorrect motor data identification
F08010,fault,Siemens_G120_CU240BE2_List_Manual.pdf,898,"(N, A) CU: Analog-to-digital converter"
F08501,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,398,Setpoint timeout • Check the PROFINET connection.
F08502,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,398,"Monitoring time, sign-of-life ex‐"
F08510,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,398,Send configuration data not valid • Check the PROFINET configuration
F08700,fault,Siemens_G120_CU240BE2_List_Manual.pdf,899,(A) CAN: Communications error
F08701,fault,Siemens_G120_CU240BE2_List_Manual.pdf,900,CAN: NMT state change
F08702,fault,Siemens_G120_CU240BE2_List_Manual.pdf,900,(A) CAN: RPDO Timeout
F08799,fault,Siemens_G120_Fieldbus_Function_Manual.pdf,224,"8110 hex CAN overflow, mes-"
F12345,fault,Siemens_G120_CU240BE2_List_Manual.pdf,319,"and fault response = NONE (OFF1, OFF2)"
F13009,fault,Siemens_G120_CU240BE2_List_Manual.pdf,903,Licensing OA application not licensed
F13100,fault,Siemens_G120_CU240BE2_List_Manual.pdf,903,Know-how protection: Copy protection error
F13101,fault,Siemens_G120_CU240BE2_List_Manual.pdf,903,Know-how protection: Copy protection cannot be activated
F13102,fault,Siemens_G120_CU240BE2_List_Manual.pdf,903,Know-how protection: Consistency error of the protected data
F30001,fault,Siemens_G120_CU240BE2_List_Manual.pdf,904,Power unit: Overcurrent
F30002,fault,Siemens_G120_CU240BE2_List_Manual.pdf,904,Power unit: DC link voltage overvoltage
F30003,fault,Siemens_G120_CU240BE2_List_Manual.pdf,905,Power unit: DC link voltage undervoltage
F30004,fault,Siemens_G120_CU240BE2_List_Manual.pdf,905,Power unit: Overtemperature heat sink AC inverter
F30005,fault,Siemens_G120_CU240BE2_List_Manual.pdf,906,Power unit: Overload I2t
F30011,fault,Siemens_G120_CU240BE2_List_Manual.pdf,906,Power unit: Line phase failure in main circuit
F30012,fault,Siemens_G120_CU240BE2_List_Manual.pdf,906,Power unit: Temperature sensor heat sink wire breakage
F30013,fault,Siemens_G120_CU240BE2_List_Manual.pdf,907,Power unit: Temperature sensor heat sink short-circuit
F30015,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,399,Motor cable phase failure Check the motor cables.
F30017,fault,Siemens_G120_CU240BE2_List_Manual.pdf,907,Power unit: Hardware current limit has responded too often
F30021,fault,Siemens_G120_CU240BE2_List_Manual.pdf,908,Power unit: Ground fault
F30022,fault,Siemens_G120_CU240BE2_List_Manual.pdf,908,Power unit: Monitoring U_ce
F30024,fault,Siemens_G120_CU240BE2_List_Manual.pdf,909,Power unit: Overtemperature thermal model
F30025,fault,Siemens_G120_CU240BE2_List_Manual.pdf,909,Power unit: Chip overtemperature
F30027,fault,Siemens_G120_CU240BE2_List_Manual.pdf,910,Power unit: Precharging DC link time monitoring
F30035,fault,Siemens_G120_CU240BE2_List_Manual.pdf,913,Power unit: Air intake overtemperature
F30036,fault,Siemens_G120_CU240BE2_List_Manual.pdf,914,Power unit: Internal overtemperature
F30037,fault,Siemens_G120_CU240BE2_List_Manual.pdf,914,Power unit: Rectifier overtemperature
F30051,fault,Siemens_G120_CU240BE2_List_Manual.pdf,915,Power unit: Motor holding brake short circuit detected
F30052,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,399,Incorrect Power Module data Replace the converter or upgrade the converter firmware.
F30053,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,399,Error in FPGA data Replace the converter.
F30055,fault,Siemens_G120_CU240BE2_List_Manual.pdf,916,Power unit: Braking chopper overcurrent
F30059,fault,Siemens_G120_CU240BE2_List_Manual.pdf,916,Power unit: Internal fan faulty
F30068,fault,Siemens_G120_CU240BE2_List_Manual.pdf,916,Power unit: undertemperature inverter heat sink
F30071,fault,Siemens_G120_CU240BE2_List_Manual.pdf,917,No new actual values received from the Power Module
F30072,fault,Siemens_G120_CU240BE2_List_Manual.pdf,917,Setpoints can no longer be transferred to the Power Module
F30074,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,399,Communications error between
F30075,fault,Siemens_G120_CU240BE2_List_Manual.pdf,917,Configuration of the power unit unsuccessful
F30080,fault,Siemens_G120_CU240BE2_List_Manual.pdf,918,Power unit: Current increasing too quickly
F30081,fault,Siemens_G120_CU240BE2_List_Manual.pdf,918,Power unit: Switching operations too frequent
F30105,fault,Siemens_G120_CU240BE2_List_Manual.pdf,918,PU: Actual value sensing fault
F30600,fault,Siemens_G120_CU240BE2_List_Manual.pdf,919,SI P2: STOP A initiated
F30611,fault,Siemens_G120_CU240BE2_List_Manual.pdf,666,≥1
F30625,fault,Siemens_G120_CU240BE2_List_Manual.pdf,921,SI P2: Sign-of-life error in safety data
F30649,fault,Siemens_G120_CU240BE2_List_Manual.pdf,921,SI P2: Internal software error
F30650,fault,Siemens_G120_CU240BE2_List_Manual.pdf,921,SI P2: Acceptance test required
F30651,fault,Siemens_G120_CU240BE2_List_Manual.pdf,922,SI P2: Synchronization with Control Unit unsuccessful
F30655,fault,Siemens_G120_CU240BE2_List_Manual.pdf,922,SI P2: Align monitoring functions
F30656,fault,Siemens_G120_CU240BE2_List_Manual.pdf,923,SI P2: Parameter processor 2 parameter error
F30659,fault,Siemens_G120_CU240BE2_List_Manual.pdf,923,SI P2: Write request for parameter rejected
F30662,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,399,"CU hardware fault Switch off the converter and switch on again, upgrade the firmware or contact"
F30664,fault,Siemens_SINAMICS_G120C_Operating_Instructions.pdf,399,"CU power up aborted Switch off the converter and switch on again, upgrade the firmware or contact"
F30665,fault,Siemens_G120_CU240BE2_List_Manual.pdf,924,SI P2: System is defective
F30680,fault,Siemens_G120_CU240BE2_List_Manual.pdf,925,SI Motion P2: Checksum error safety monitoring functions
F30681,fault,Siemens_G120_CU240BE2_List_Manual.pdf,925,SI Motion P2: Incorrect parameter value
F30682,fault,Siemens_G120_CU240BE2_List_Manual.pdf,925,SI Motion P2: Monitoring function not supported
F30683,fault,Siemens_G120_CU240BE2_List_Manual.pdf,926,SI Motion P2: SLS enable missing
F30692,fault,Siemens_G120_CU240BE2_List_Manual.pdf,926,SI Motion P2: Parameter value not permitted for encoderless
F30700,fault,Siemens_G120_CU240BE2_List_Manual.pdf,927,SI Motion P2: STOP A initiated
F30701,fault,Siemens_G120_CU240BE2_List_Manual.pdf,927,SI Motion P2: STOP B initiated
F30770,fault,Siemens_G120_CU240BE2_List_Manual.pdf,929,SI Motion P2: Discrepancy error affecting the failsafe inputs
F30802,fault,Siemens_G120_CU240BE2_List_Manual.pdf,931,Power unit: Time slice overflow
F30804,fault,Siemens_G120_CU240BE2_List_Manual.pdf,931,"(N, A) Power unit: CRC"
F30805,fault,Siemens_G120_CU240BE2_List_Manual.pdf,931,Power unit: EEPROM checksum error
F30809,fault,Siemens_G120_CU240BE2_List_Manual.pdf,931,Power unit: Switching information not valid
F30850,fault,Siemens_G120_CU240BE2_List_Manual.pdf,932,Power unit: Internal software error
F30903,fault,Siemens_G120_CU240BE2_List_Manual.pdf,932,Power unit: I2C bus error occurred
F30950,fault,Siemens_G120_CU240BE2_List_Manual.pdf,932,Power unit: Internal software error
F35950,fault,Siemens_G120_CU240BE2_List_Manual.pdf,933,TM: Internal software error
F50510,fault,Siemens_G120_CU240BE2_List_Manual.pdf,934,FBLOCKS: Logon of the runtime group rejected
F50511,fault,Siemens_G120_CU240BE2_List_Manual.pdf,934,FBLOCKS: Memory no longer available for free function blocks
F50518,fault,Siemens_G120_CU240BE2_List_Manual.pdf,935,FBLOCKS: Sampling time of free runtime group differs at download
